date,close,adjusted,volume
2018-04-27,30.52,30.52,1744866.0
2018-04-30,31.58,31.58,638939.0
2018-05-01,31.48,31.48,858596.0
2018-05-02,32.75,32.75,845513.0
2018-05-03,33.79,33.79,1807868.0
2018-05-04,34.09,34.09,679622.0
2018-05-07,33.99,33.99,325618.0
2018-05-08,32.95,32.95,413943.0
2018-05-09,33.47,33.47,466652.0
2018-05-10,33.13,33.13,731641.0
2018-05-11,34.38,34.38,241875.0
2018-05-14,36.48,36.48,868316.0
2018-05-15,36.95,36.95,565839.0
2018-05-16,37.2,37.2,219216.0
2018-05-17,38.33,38.33,826669.0
2018-05-18,36.82,36.82,615850.0
2018-05-21,35.16,35.16,909271.0
2018-05-22,34.32,34.32,335543.0
2018-05-23,33.97,33.97,405300.0
2018-05-24,33.71,33.71,397134.0
2018-05-25,33.6,33.6,256911.0
2018-05-29,34.24,34.24,218090.0
2018-05-30,34.67,34.67,546050.0
2018-05-31,34.52,34.52,361000.0
2018-06-01,34.53,34.53,414431.0
2018-06-04,35.96,35.96,521246.0
2018-06-05,36.35,36.35,319368.0
2018-06-06,38.16,38.16,307177.0
2018-06-07,37.11,37.11,782482.0
2018-06-08,37.4,37.4,666155.0
2018-06-11,36.49,36.49,408473.0
2018-06-12,37.62,37.62,508287.00000000006
2018-06-13,37.66,37.66,641239.0
2018-06-14,38.19,38.19,1771669.0
2018-06-15,38.45,38.45,1402687.0
2018-06-18,39.78,39.78,1646109.0
2018-06-19,37.2,37.2,602338.0
2018-06-20,37.01,37.01,409376.0
2018-06-21,36.55,36.55,549878.0
2018-06-22,35.75,35.75,1893289.0
2018-06-25,34.82,34.82,458834.0
2018-06-26,35.03,35.03,405719.0
2018-06-27,34.33,34.33,678143.0
2018-06-28,34.04,34.04,377998.0
2018-06-29,33.19,33.19,459068.0
2018-07-02,32.82,32.82,507918.0
2018-07-03,33.38,33.38,384542.0
2018-07-05,33.93,33.93,583540.0
2018-07-06,33.85,33.85,350649.0
2018-07-09,32.92,32.92,290731.0
2018-07-10,33.12,33.12,822035.0
2018-07-11,32.58,32.58,299956.0
2018-07-12,34.48,34.48,368294.0
2018-07-13,34.66,34.66,293046.0
2018-07-16,35.12,35.12,166153.0
2018-07-17,34.89,34.89,141405.0
2018-07-18,34.9,34.9,206382.0
2018-07-19,34.84,34.84,128819.99999999999
2018-07-20,35.03,35.03,171808.0
2018-07-23,35.06,35.06,122673.0
2018-07-24,34.96,34.96,315562.0
2018-07-25,34.72,34.72,131291.0
2018-07-26,34.92,34.92,66990.0
2018-07-27,34.02,34.02,306367.0
