date,close,adjusted,volume
2016-04-06,35.75,35.75,3954887.0
2016-04-07,35.25,35.25,2025615.0000000002
2016-04-08,35.37,35.37,2438900.0
2016-04-11,35.02,35.02,2117416.0
2016-04-12,35.23,35.23,1973249.0
2016-04-13,36.0,36.0,6909311.0
2016-04-14,36.25,36.25,2910841.0
2016-04-15,36.17,36.17,1826635.0
2016-04-18,36.79,36.79,2651456.0
2016-04-19,36.62,36.62,2533238.0
2016-04-20,37.31,37.31,3134372.0
2016-04-21,37.5,37.5,4524164.0
2016-04-22,37.44,37.44,3378011.0
2016-04-25,37.79,37.79,1954656.0
2016-04-26,37.7,37.7,2589862.0
2016-04-27,37.83,37.83,3516102.0
2016-04-28,33.92,33.92,9927522.0
2016-04-29,33.59,33.59,7474407.0
2016-05-02,34.0,34.0,4488950.0
2016-05-03,34.26,34.26,5812668.0
2016-05-04,33.89,33.89,3455389.0
2016-05-05,33.75,33.75,3354061.0
2016-05-06,33.72,33.72,2656557.0
2016-05-09,33.88,33.88,3251536.0
2016-05-10,34.41,34.41,3897509.0
2016-05-11,34.17,34.17,1916719.0
2016-05-12,33.76,33.76,2796804.0
2016-05-13,33.75,33.75,2018828.0
2016-05-16,34.11,34.11,2160087.0
2016-05-17,33.57,33.57,2470390.0
2016-05-18,33.28,33.28,5989762.0
2016-05-19,33.28,33.28,2672167.0
2016-05-20,33.34,33.34,2247779.0
2016-05-23,33.08,33.08,2130761.0
2016-05-24,33.45,33.45,2609643.0
2016-05-25,33.61,33.61,3533214.0
2016-05-26,33.85,33.85,3568035.0
2016-05-27,34.41,34.41,3236976.0
2016-05-31,34.41,34.41,3518999.0
2016-06-01,34.66,34.66,3463390.0
2016-06-02,34.84,34.84,3038237.0
2016-06-03,34.32,34.32,3726998.0
2016-06-06,34.49,34.49,1779162.0
2016-06-07,34.28,34.28,2887123.0
2016-06-08,34.41,34.41,2489939.0
2016-06-09,34.95,34.95,5842231.0
2016-06-10,34.14,34.14,2555728.0
2016-06-13,33.41,33.41,2288005.0
2016-06-14,33.09,33.09,2510280.0
2016-06-15,33.13,33.13,2537672.0
2016-06-16,33.7,33.7,4725985.0
2016-06-17,33.81,33.81,4982381.0
2016-06-20,34.14,34.14,3631231.0
2016-06-21,33.88,33.88,2208209.0
2016-06-22,34.11,34.11,4699530.0
2016-06-23,35.62,35.62,4426927.0
2016-06-24,34.11,34.11,6377279.0
2016-06-27,32.93,32.93,2065449.0
2016-06-28,33.35,33.35,2283844.0
2016-06-29,34.06,34.06,3280348.0
2016-06-30,34.6,34.6,2508203.0
2016-07-01,34.85,34.85,2243868.0
2016-07-05,34.44,34.44,1988459.0
2016-07-06,34.7,34.7,2233704.0
2016-07-07,35.5,35.5,3322753.0
2016-07-08,35.93,35.93,1887656.0
2016-07-11,35.61,35.61,1779035.0
2016-07-12,35.71,35.71,1690296.0
2016-07-13,35.8,35.8,1696983.0
2016-07-14,36.53,36.53,2378818.0
2016-07-15,36.35,36.35,2696647.0
2016-07-18,36.44,36.44,1454850.0
2016-07-19,36.5,36.5,1534289.0
2016-07-20,36.82,36.82,2031397.0000000002
2016-07-21,36.45,36.45,4810880.0
2016-07-22,36.52,36.52,2252852.0
2016-07-25,36.57,36.57,2056391.0
2016-07-26,36.83,36.83,1891334.0
2016-07-27,37.2,37.2,3534350.0
2016-07-28,38.27,38.27,4563350.0
2016-07-29,38.49,38.49,2553587.0
2016-08-01,38.98,38.98,5388485.0
2016-08-02,39.03,39.03,4834564.0
2016-08-03,39.0,39.0,3586335.0
2016-08-04,38.68,38.68,2065500.0
2016-08-05,38.97,38.97,1498280.0
2016-08-08,38.41,38.41,2433362.0
2016-08-09,38.69,38.69,1671455.0
2016-08-10,38.55,38.55,921366.0
2016-08-11,38.85,38.85,2557952.0
2016-08-12,38.68,38.68,1448530.0
2016-08-15,39.0,39.0,1977675.0
2016-08-16,38.51,38.51,1179882.0
2016-08-17,38.08,38.08,1988357.0
2016-08-18,38.38,38.38,1456152.0
2016-08-19,38.34,38.34,2349173.0
2016-08-22,38.45,38.45,1562977.0
2016-08-23,38.79,38.79,2168385.0
2016-08-24,38.34,38.34,2128093.0
2016-08-25,38.43,38.43,2787586.0
2016-08-26,38.8,38.8,3220019.0
2016-08-29,38.73,38.73,1884926.0
2016-08-30,38.46,38.46,1987470.0
2016-08-31,38.42,38.42,2209546.0
2016-09-01,38.46,38.46,1699124.0
2016-09-02,38.51,38.51,1296867.0
2016-09-06,38.5,38.5,1664761.0
2016-09-07,38.67,38.67,1684427.0
2016-09-08,38.5,38.5,1669300.0
2016-09-09,37.16,37.16,2356534.0
2016-09-12,37.7,37.7,2006418.0
