date,close,adjusted,volume
2015-07-02,26.11,20.312,4327430.0
2015-07-06,25.75,20.032,5210848.0
2015-07-07,25.89,20.141,4510872.0
2015-07-08,25.61,19.923,4803188.0
2015-07-09,25.71,20.001,5845379.0
2015-07-10,26.15,20.343,4682616.0
2015-07-13,26.14,20.335,3566810.0
2015-07-14,26.06,20.273,5192117.0
2015-07-15,26.15,20.343,2929294.0
2015-07-16,26.35,20.499,3646161.0
2015-07-17,26.39,20.53,3261488.0
2015-07-20,26.36,20.506,6132916.0
2015-07-21,26.34,20.491,3935975.0
2015-07-22,26.19,20.374,4267867.0
2015-07-23,26.49,20.608,5959658.0
2015-07-24,27.54,21.424,35124008.0
2015-07-27,27.43,21.339,10584543.0
2015-07-28,27.57,21.448,15045228.0
2015-07-29,27.48,21.378,10531312.0
2015-07-30,27.96,21.751,6948096.0
2015-07-31,28.42,22.109,8135146.0
2015-08-03,28.17,21.915,5259467.0
2015-08-04,27.98,21.767,4091608.0
2015-08-05,28.25,21.977,5919644.0
2015-08-06,28.01,21.79,4192748.0
2015-08-07,28.06,21.829,4085640.0
2015-08-10,28.39,22.086,5460030.0
2015-08-11,27.88,21.689,2573221.0
2015-08-12,28.15,21.899,4986941.0
2015-08-13,28.17,21.915,3649538.0
2015-08-14,28.19,21.93,2772607.0
2015-08-17,28.32,22.031,2234800.0
2015-08-18,28.12,21.876,3746211.0
2015-08-19,28.05,21.821,5209035.0
2015-08-20,27.36,21.284,6168101.0
2015-08-21,26.56,20.662,6081558.0
2015-08-24,25.56,19.884,11250680.0
2015-08-25,24.88,19.355,6940694.0
2015-08-26,25.57,19.892,6444660.0
2015-08-27,26.0,20.226,5284154.0
2015-08-28,25.98,20.289,5214272.0
2015-08-31,25.71,20.078,3166449.0
2015-09-01,24.94,19.476,6496152.0
2015-09-02,25.31,19.765,4232833.0
2015-09-03,25.27,19.734,5024697.0
2015-09-04,25.06,19.57,4442184.0
2015-09-08,25.55,19.953,4157413.0
2015-09-09,25.25,19.719,4724269.0
2015-09-10,25.62,20.008,4334886.0
2015-09-11,25.26,19.726,3083798.0
2015-09-14,25.33,19.781,3569275.0
2015-09-15,25.8,20.148,3766676.0
2015-09-16,25.96,20.273,4660496.0
2015-09-17,25.81,20.156,4404949.0
2015-09-18,25.54,19.945,7529401.0
2015-09-21,25.76,20.117,4944026.0
2015-09-22,25.25,19.719,4036092.0
2015-09-23,25.36,19.804,3768802.0
2015-09-24,25.31,19.765,3936840.0
2015-09-25,25.28,19.742,4795462.0
2015-09-28,24.91,19.453,3734946.0
2015-09-29,25.04,19.555,5227191.0
2015-09-30,25.71,20.078,7291305.0
2015-10-01,26.04,20.335,6796943.0
2015-10-02,27.17,21.218,9329685.0
2015-10-05,28.5,22.257,8587523.0
