date,close,adjusted,volume
2014-12-18,28.69,28.69,487906.0
2014-12-19,29.19,29.19,1718753.0
2014-12-22,28.63,28.63,280757.0
2014-12-23,27.15,27.15,424424.0
2014-12-24,27.38,27.38,186034.0
2014-12-26,28.49,28.49,169201.0
2014-12-29,27.94,27.94,200494.0
2014-12-30,28.06,28.06,145467.0
2014-12-31,27.88,27.88,186086.0
2015-01-02,27.51,27.51,187260.0
2015-01-05,28.08,28.08,455243.0
2015-01-06,26.55,26.55,622116.0
2015-01-07,27.81,27.81,457211.0
2015-01-08,27.99,27.99,183802.0
2015-01-09,27.57,27.57,423984.0
2015-01-12,27.67,27.67,449578.0
2015-01-13,28.13,28.13,505180.0
2015-01-14,27.97,27.97,231478.0
2015-01-15,27.4,27.4,390980.0
2015-01-16,28.07,28.07,450748.0
2015-01-20,27.99,27.99,452988.0
2015-01-21,27.53,27.53,334335.0
2015-01-22,27.91,27.91,425624.0
2015-01-23,27.2,27.2,443638.0
2015-01-26,28.33,28.33,344768.0
2015-01-27,28.2,28.2,309809.0
2015-01-28,27.74,27.74,527367.0
2015-01-29,27.72,27.72,406479.0
2015-01-30,27.62,27.62,394947.0
2015-02-02,27.64,27.64,243853.0
2015-02-03,27.78,27.78,278936.0
2015-02-04,27.55,27.55,281968.0
2015-02-05,27.49,27.49,244476.0
2015-02-06,27.44,27.44,343868.0
2015-02-09,27.55,27.55,258145.0
2015-02-10,27.88,27.88,271985.0
2015-02-11,29.32,29.32,752417.0
2015-02-12,28.58,28.58,470365.0
2015-02-13,27.52,27.52,421626.0
2015-02-17,27.34,27.34,508557.0
2015-02-18,27.74,27.74,281902.0
2015-02-19,29.01,29.01,344768.0
2015-02-20,28.15,28.15,384257.0
2015-02-23,28.19,28.19,222645.0
2015-02-24,28.35,28.35,213197.0
2015-02-25,28.87,28.87,201712.0
2015-02-26,29.6,29.6,205260.0
2015-02-27,27.97,27.97,372081.0
2015-03-02,28.46,28.46,431007.0
2015-03-03,29.99,29.99,864032.0
2015-03-04,29.77,29.77,9323169.0
2015-03-05,29.75,29.75,1323708.0
2015-03-06,29.76,29.76,819031.0
2015-03-09,29.82,29.82,699220.0
2015-03-10,29.8,29.8,768084.0
2015-03-11,30.23,30.23,789859.0
2015-03-12,30.02,30.02,561445.0
2015-03-13,30.35,30.35,1576134.0
2015-03-16,30.89,30.89,590107.0
2015-03-17,31.08,31.08,528777.0
2015-03-18,31.3,31.3,975194.0
2015-03-19,31.5,31.5,904295.0
2015-03-20,31.11,31.11,1189868.0
2015-03-23,30.85,30.85,251569.0
2015-03-24,30.65,30.65,301162.0
2015-03-25,30.44,30.44,662809.0
2015-03-26,30.1,30.1,248093.0
2015-03-27,30.1,30.1,408007.0
2015-03-30,31.17,31.17,360942.0
2015-03-31,31.15,31.15,357970.0
2015-04-01,30.86,30.86,525734.0
