date,close,adjusted,volume
2020-07-02,27.1,25.773,6754535.0
2020-07-06,27.39,26.049,6394085.0
2020-07-07,26.6,25.298,2995178.0
2020-07-08,26.49,25.193,8779908.0
2020-07-09,25.88,24.613,2736296.0
2020-07-10,26.25,24.965,1200363.0
2020-07-13,25.48,24.233,1503448.0
2020-07-14,25.39,24.147,855521.0
2020-07-15,25.5,24.252,891541.0
2020-07-16,25.59,24.337,1158483.0
2020-07-17,25.71,24.451,260413.0
2020-07-20,26.11,24.832,404117.0
2020-07-21,25.67,24.413,524846.0
2020-07-22,25.69,24.432,533583.0
2020-07-23,25.46,24.214,545737.0
2020-07-24,25.14,23.909,658373.0
2020-07-27,25.29,24.052,914996.0
2020-07-28,25.21,23.976,1156107.0
2020-07-29,25.28,24.043,471361.0
2020-07-30,24.67,23.462,518839.99999999994
2020-07-31,25.5,24.252,765724.0
2020-08-03,25.56,24.309,1137756.0
2020-08-04,26.54,25.241,1421055.0
2020-08-05,27.04,25.716,1267639.0
2020-08-06,25.05,23.824,2399162.0
2020-08-07,26.05,24.775,849029.0
2020-08-10,24.7,23.491,1315480.0
2020-08-11,24.75,23.538,1195034.0
2020-08-12,25.87,24.604,922440.0
2020-08-13,24.89,23.672,584385.0
2020-08-14,25.36,24.119,402369.0
2020-08-17,25.15,23.919,426889.0
2020-08-18,25.1,23.871,418310.0
2020-08-19,25.8,24.537,629794.0
2020-08-20,26.04,24.765,1253449.0
2020-08-21,25.47,24.223,629630.0
2020-08-24,25.72,24.461,652725.0
2020-08-25,25.44,24.195,432805.0
2020-08-26,25.28,24.043,271168.0
2020-08-27,25.45,24.204,358982.0
2020-08-28,25.3,24.062,373367.0
2020-08-31,25.36,24.119,702466.0
2020-09-01,25.63,24.375,852260.0
2020-09-02,25.94,24.67,899877.0
2020-09-03,24.45,23.253,567546.0
2020-09-04,24.66,23.453,894763.0
2020-09-08,24.62,23.415,1137864.0
2020-09-09,25.06,23.833,825092.0
2020-09-10,25.15,23.919,744355.0
2020-09-11,25.1,23.871,777305.0
2020-09-14,25.17,23.938,1305544.0
2020-09-15,25.25,24.014,943095.0
2020-09-16,25.51,24.261,1851771.0
2020-09-17,24.73,23.519,1677114.0
2020-09-18,24.8,23.586,10051070.0
2020-09-21,24.06,22.882,1497483.0
2020-09-22,23.9,22.73,1652809.0
2020-09-23,24.1,22.92,1454085.0
2020-09-24,24.53,23.329,821454.0
2020-09-25,24.55,23.348,454751.0
2020-09-28,25.26,24.023,729553.0
2020-09-29,25.24,24.004,1419403.0
2020-09-30,25.66,24.404,1370466.0
2020-10-01,25.39,24.147,1030443.0
2020-10-02,25.54,24.29,598131.0
2020-10-05,26.38,25.089,1062554.0
2020-10-06,25.91,24.642,1010833.0000000001
2020-10-07,25.92,24.651,1154994.0
2020-10-08,28.13,26.753,2033322.0
2020-10-09,28.16,26.782,829377.0
2020-10-12,27.6,26.249,499442.0
2020-10-13,27.3,25.964,436300.0
2020-10-14,27.46,26.116,633729.0
2020-10-15,27.52,26.173,217997.0
2020-10-16,27.37,26.03,395963.0
2020-10-19,26.78,25.469,520792.00000000006
2020-10-20,26.52,25.222,865035.0
2020-10-21,26.85,25.536,544701.0
2020-10-22,26.66,25.355,568133.0
2020-10-23,26.78,25.469,224702.0
2020-10-26,26.76,25.45,360266.0
2020-10-27,26.35,25.06,549476.0
2020-10-28,25.68,24.423,311593.0
2020-10-29,25.88,24.613,892023.0
2020-10-30,25.84,24.575,670136.0
2020-11-02,26.05,24.775,1292480.0
2020-11-03,26.78,25.469,913693.0
2020-11-04,28.13,26.753,1822461.0
2020-11-05,26.53,25.231,2327644.0
2020-11-06,26.13,24.851,1272913.0
2020-11-09,25.88,24.613,900337.0
2020-11-10,26.14,24.86,847454.0
2020-11-11,26.6,25.298,435055.0
2020-11-12,27.02,25.697,767870.0
2020-11-13,27.4,26.059,1284918.0
2020-11-16,28.05,26.677,1211970.0
2020-11-17,27.93,26.563,764901.0
2020-11-18,27.0,25.678,935248.0
2020-11-19,27.61,26.258,512229.99999999994
2020-11-20,27.39,26.049,376378.0
2020-11-23,27.13,25.802,403836.0
2020-11-24,26.72,25.412,733608.0
2020-11-25,26.94,25.621,387652.0
2020-11-27,26.68,25.374,193473.0
2020-11-30,26.81,25.498,873033.0
2020-12-01,27.03,25.707,553020.0
2020-12-02,26.92,25.602,634004.0
2020-12-03,26.79,25.479,430007.0
2020-12-04,27.05,25.726,417647.0
2020-12-07,27.0,25.678,609497.0
2020-12-08,26.71,25.403,527856.0
2020-12-09,26.03,24.756,1249395.0
2020-12-10,25.72,24.461,655920.0
2020-12-11,25.55,24.299,1361189.0
2020-12-14,25.76,24.499,2735747.0
2020-12-15,26.0,24.727,1170971.0
2020-12-16,26.97,25.65,1146605.0
2020-12-17,27.28,25.945,970321.0
2020-12-18,27.35,26.011,2025183.0000000002
2020-12-21,27.26,25.926,913753.0
2020-12-22,26.96,25.64,648490.0
2020-12-23,26.69,25.383,583563.0
2020-12-24,26.49,25.193,281281.0
2020-12-28,26.25,24.965,1246688.0
2020-12-29,25.87,24.604,739220.0
2020-12-30,25.41,24.166,1492045.0
2020-12-31,24.9,23.681,2355217.0
2021-01-04,24.32,23.13,5313710.0
2021-01-05,24.03,22.854,3201493.0
2021-01-06,24.7,23.491,4250560.0
2021-01-07,25.86,24.594,3841724.0
2021-01-08,25.47,24.223,2463903.0
2021-01-11,25.81,24.547,2204497.0
2021-01-12,25.95,24.68,1865721.0
2021-01-13,25.64,24.385,1492448.0
2021-01-14,25.62,24.366,1783977.0
2021-01-15,25.0,23.776,1281566.0
2021-01-19,25.01,23.786,1038106.0
2021-01-20,25.08,23.852,1754971.0
2021-01-21,24.98,23.757,1176761.0
2021-01-22,24.76,23.548,955101.0
2021-01-25,24.59,23.386,2192375.0
2021-01-26,24.25,23.063,1160296.0
2021-01-27,23.17,22.036,2551602.0
2021-01-28,24.04,22.863,1257975.0
2021-01-29,23.65,22.492,1652144.0
2021-02-01,24.55,23.348,1505257.0
2021-02-02,24.75,23.538,1938759.0
2021-02-03,25.0,23.776,1300988.0
2021-02-04,25.41,24.166,1998129.0
2021-02-05,25.83,24.566,2204111.0
2021-02-08,24.78,23.567,3223926.0
2021-02-09,24.35,23.158,2001145.0000000002
2021-02-10,23.06,21.931,3247420.0
2021-02-11,22.8,21.684,2642238.0
2021-02-12,23.49,22.34,5008972.0
2021-02-16,23.76,22.597,2276800.0
2021-02-17,23.86,22.692,1382319.0
2021-02-18,23.68,22.521,1387915.0
2021-02-19,23.54,22.388,2140811.0
2021-02-22,23.54,22.388,1790817.0
2021-02-23,23.64,22.483,2118854.0
2021-02-24,22.7,21.589,1412214.0
2021-02-25,22.59,21.484,1365819.0
2021-02-26,21.86,20.79,2430649.0
2021-03-01,22.75,21.636,1679008.0
2021-03-02,23.17,22.036,1405726.0
2021-03-03,23.21,22.074,910765.0
2021-03-04,22.27,21.18,1755385.0
2021-03-05,22.25,21.161,2026028.0000000002
2021-03-08,21.96,20.885,1838721.0
2021-03-09,22.37,21.275,2098699.0
2021-03-10,22.01,20.933,2230403.0
2021-03-11,22.39,21.294,2836699.0
2021-03-12,22.68,21.57,1211301.0
2021-03-15,23.66,22.502,2041130.0
2021-03-16,24.1,22.92,2833980.0
2021-03-17,24.49,23.291,2993065.0
2021-03-18,23.64,22.483,3248911.0
2021-03-19,24.21,23.025,7317691.0
2021-03-22,24.55,23.348,2994022.0
2021-03-23,23.99,22.816,3613754.0
2021-03-24,24.19,23.006,1227843.0
2021-03-25,24.35,23.158,1214367.0
2021-03-26,24.79,23.577,1947729.0
2021-03-29,24.36,23.168,1210086.0
2021-03-30,23.91,22.74,1558903.0
2021-03-31,23.81,22.644,1993855.0
2021-04-01,23.44,22.293,1888421.0
2021-04-05,23.46,22.312,1828467.0
2021-04-06,23.56,22.407,3107557.0
2021-04-07,23.18,22.045,2121746.0
2021-04-08,23.16,22.026,1319591.0
2021-04-09,23.29,22.15,1563890.0
2021-04-12,22.92,21.798,1040810.0
2021-04-13,22.86,21.741,1040621.0
2021-04-14,22.47,21.37,862171.0
2021-04-15,23.0,21.874,1724589.0
2021-04-16,23.42,22.274,2072949.0
2021-04-19,23.65,22.492,2465116.0
2021-04-20,23.45,22.302,1099288.0
2021-04-21,23.61,22.454,2092879.0
2021-04-22,24.2,23.015,2987790.0
2021-04-23,24.32,23.13,914001.0
2021-04-26,24.27,23.082,589074.0
2021-04-27,24.4,23.206,747950.0
2021-04-28,23.99,22.816,510047.0
2021-04-29,24.35,23.158,1133880.0
2021-04-30,23.76,22.597,856097.0
2021-05-03,24.14,22.958,772460.0
2021-05-04,23.87,22.702,1978459.0
2021-05-05,22.76,21.646,5239689.0
2021-05-06,22.6,21.494,2036417.9999999998
2021-05-07,22.58,21.475,2807092.0
2021-05-10,22.75,21.636,1467301.0
2021-05-11,23.21,22.074,1598949.0
2021-05-12,22.23,21.142,1508397.0
2021-05-13,21.82,20.752,1720007.0
2021-05-14,22.14,21.056,1644855.0
