date,close,adjusted,volume
2015-09-08,72.29,56.002,1560022.0
2015-09-09,71.13,55.103,1509437.0
2015-09-10,71.64,55.499,1177074.0
2015-09-11,72.2,55.932,1195066.0
2015-09-14,72.31,56.018,1425252.0
2015-09-15,72.64,56.273,1346469.0
2015-09-16,73.36,56.831,1678158.0
2015-09-17,73.5,56.939,1484767.0
2015-09-18,73.34,56.816,2232357.0
2015-09-21,73.29,56.777,1840821.0
2015-09-22,73.07,56.606,1126311.0
2015-09-23,73.85,57.211,1120290.0
2015-09-24,74.38,57.621,1465132.0
2015-09-25,75.76,58.69,3423463.0
2015-09-28,73.88,57.234,2236475.0
2015-09-29,71.91,55.708,1972438.0
2015-09-30,71.97,55.754,2625118.0
2015-10-01,71.15,55.119,2014206.9999999998
2015-10-02,70.88,54.91,2474972.0
2015-10-05,72.15,55.894,1735686.0
2015-10-06,70.74,54.801,1775457.0
2015-10-07,69.15,53.57,3344568.0
2015-10-08,71.3,55.235,3237159.0
2015-10-09,71.04,55.034,1362219.0
2015-10-12,70.77,54.825,1576558.0
2015-10-13,69.99,54.22,1659993.0
2015-10-14,68.52,53.272,1941678.0
2015-10-15,68.55,53.295,2245793.0
2015-10-16,70.06,54.469,1437152.0
2015-10-19,70.84,55.076,1282846.0
2015-10-20,69.76,54.236,1513850.0
2015-10-21,70.18,54.562,1462373.0
2015-10-22,69.34,53.909,1778226.0
2015-10-23,63.61,49.454,7001311.0
2015-10-26,65.47,50.901,4369079.0
2015-10-27,66.12,51.406,2831705.0
2015-10-28,68.02,52.883,2282884.0
2015-10-29,67.87,52.766,1382522.0
2015-10-30,67.75,52.673,2219387.0
2015-11-02,68.24,53.054,2282624.0
2015-11-03,69.19,53.793,1627553.0
2015-11-04,68.4,53.179,1655373.0
2015-11-05,68.96,53.614,1203951.0
2015-11-06,66.98,52.075,1975625.0
2015-11-09,67.22,52.261,2241797.0
2015-11-10,65.65,51.041,4477435.0
2015-11-11,62.18,48.343,3990127.0
2015-11-12,61.35,47.697,4839401.0
2015-11-13,58.04,45.124,4950938.0
2015-11-16,59.14,45.979,4669436.0
2015-11-17,59.5,46.259,2861177.0
2015-11-18,61.12,47.519,5341784.0
2015-11-19,61.53,47.837,5076493.0
2015-11-20,65.02,50.551,8838732.0
