date,close,adjusted,volume
2013-03-11,68.9,68.9,193578.0
2013-03-12,68.29,68.29,176481.0
2013-03-13,68.27,68.27,144929.0
2013-03-14,68.92,68.92,96785.0
2013-03-15,69.14,69.14,571745.0
2013-03-18,68.88,68.88,216159.0
2013-03-19,69.39,69.39,222580.0
2013-03-20,70.38,70.38,206019.0
2013-03-21,70.18,70.18,202957.0
2013-03-22,70.74,70.74,204759.0
2013-03-25,69.96,69.96,341345.0
2013-03-26,70.39,70.39,117553.0
2013-03-27,70.57,70.57,91820.0
2013-03-28,70.94,70.94,236082.0
2013-04-01,70.48,70.48,222263.0
2013-04-02,70.21,70.21,239328.0
2013-04-03,68.73,68.73,317349.0
2013-04-04,68.86,68.86,207469.0
2013-04-05,67.58,67.58,582567.0
2013-04-08,68.01,68.01,254021.0
2013-04-09,68.16,68.16,143086.0
2013-04-10,69.64,69.64,184134.0
2013-04-11,69.62,69.62,164773.0
2013-04-12,68.9,68.9,159931.0
2013-04-15,66.57,66.57,262542.0
2013-04-16,68.0,68.0,153314.0
2013-04-17,66.67,66.67,141396.0
2013-04-18,66.1,66.1,187771.0
2013-04-19,66.99,66.99,87847.0
2013-04-22,66.81,66.81,152265.0
2013-04-23,68.2,68.2,155600.0
2013-04-24,68.26,68.26,222334.0
2013-04-25,68.35,68.35,203164.0
2013-04-26,69.85,69.85,492152.0
2013-04-29,71.06,71.06,274307.0
2013-04-30,71.11,71.11,245428.0
2013-05-01,69.25,69.25,195869.0
2013-05-02,70.17,70.17,203790.0
2013-05-03,71.04,71.04,193885.0
2013-05-06,71.42,71.42,231463.0
2013-05-07,72.6,72.6,174941.0
2013-05-08,72.51,72.51,95979.0
2013-05-09,72.23,72.23,61990.0
2013-05-10,72.42,72.42,72487.0
2013-05-13,72.28,72.28,93649.0
2013-05-14,73.34,73.34,122540.0
2013-05-15,74.11,74.11,208123.0
2013-05-16,73.92,73.92,149421.0
2013-05-17,74.77,74.77,148665.0
2013-05-20,75.29,75.29,148112.0
2013-05-21,75.43,75.43,76821.0
2013-05-22,74.13,74.13,222264.0
2013-05-23,74.31,74.31,199768.0
2013-05-24,74.32,74.32,87443.0
2013-05-28,75.88,75.88,189979.0
2013-05-29,76.0,76.0,168238.0
2013-05-30,78.07,78.07,284453.0
2013-05-31,77.39,77.39,367308.0
2013-06-03,76.4,76.4,286887.0
2013-06-04,75.58,75.58,270094.0
2013-06-05,74.24,74.24,182407.0
2013-06-06,76.09,76.09,232722.0
2013-06-07,76.56,76.56,173994.0
2013-06-10,77.82,77.82,115433.0
2013-06-11,76.44,76.44,197613.0
2013-06-12,75.41,75.41,108627.0
