date,close,adjusted,volume
2013-11-08,41.65,41.65,27925300.0
2013-11-11,42.9,42.9,16113900.0
2013-11-12,41.9,41.9,6316700.0
2013-11-13,42.6,42.6,8688300.0
2013-11-14,44.69,44.69,11099400.0
2013-11-15,43.98,43.98,8010600.0
2013-11-18,41.14,41.14,12810600.0
2013-11-19,41.75,41.75,7436600.0
2013-11-20,41.05,41.05,5767300.0
2013-11-21,42.06,42.06,8324700.0
2013-11-22,41.0,41.0,6185200.0
2013-11-25,39.06,39.06,14333300.0
2013-11-26,40.18,40.18,9828400.0
2013-11-27,40.9,40.9,5536300.0
2013-11-29,41.57,41.57,4107000.0
2013-12-02,40.78,40.78,6424300.0
2013-12-03,41.37,41.37,5771000.0
2013-12-04,43.69,43.69,11014900.0
2013-12-05,45.62,45.62,11729400.0
2013-12-06,44.95,44.95,6230000.0
2013-12-09,49.14,49.14,17366600.0
2013-12-10,51.99,51.99,25792000.0
2013-12-11,52.34,52.34,26631500.0
2013-12-12,55.33,55.33,23446900.0
2013-12-13,59.0,59.0,38979600.0
2013-12-16,56.61,56.61,39310800.0
2013-12-17,56.45,56.45,22115200.0
2013-12-18,55.51,55.51,16659800.0
2013-12-19,57.49,57.49,13152500.0
2013-12-20,60.01,60.01,26207400.0
2013-12-23,64.54,64.54,22163800.0
2013-12-24,69.96,69.96,35802700.0
2013-12-26,73.31,73.31,82761100.0
2013-12-27,63.75,63.75,60418700.0
2013-12-30,60.51,60.51,55538300.0
2013-12-31,63.65,63.65,27814600.0
2014-01-02,67.5,67.5,29246400.0
2014-01-03,69.0,69.0,33207200.0
2014-01-06,66.29,66.29,27243700.0
2014-01-07,61.46,61.46,31748400.0
2014-01-08,59.29,59.29,27263200.0
2014-01-09,57.05,57.05,31092100.0
2014-01-10,57.0,57.0,22375900.0
2014-01-13,57.82,57.82,20978100.0
2014-01-14,58.21,58.21,14778000.0
2014-01-15,61.57,61.57,21537300.0
2014-01-16,60.57,60.57,16589400.0
2014-01-17,62.2,62.2,28391100.0
2014-01-21,62.53,62.53,13733200.0
2014-01-22,62.44,62.44,12039000.0
2014-01-23,62.8,62.8,10183700.0
2014-01-24,61.74,61.74,12942200.0
2014-01-27,57.91,57.91,18982700.0
2014-01-28,60.44,60.44,9346800.0
2014-01-29,59.45,59.45,9140000.0
2014-01-30,63.47,63.47,17424300.0
2014-01-31,64.5,64.5,15498800.0
2014-02-03,65.25,65.25,17890300.0
2014-02-04,66.32,66.32,13017400.0
2014-02-05,65.97,65.97,31504900.0
2014-02-06,50.03,50.03,64856500.0
2014-02-07,54.35,54.35,32204400.0
2014-02-10,52.92,52.92,15857400.0
2014-02-11,54.0,54.0,13162900.0
2014-02-12,56.85,56.85,20040400.0
2014-02-13,56.47,56.47,26009500.0
2014-02-14,57.44,57.44,12512400.0
2014-02-18,58.18,58.18,10719500.0
2014-02-19,55.5,55.5,25772100.0
2014-02-20,56.63,56.63,12097500.0
2014-02-21,55.92,55.92,7714300.0
2014-02-24,55.78,55.78,8451200.0
2014-02-25,54.96,54.96,9288500.0
2014-02-26,55.87,55.87,12116000.0
2014-02-27,55.77,55.77,6537700.0
2014-02-28,54.91,54.91,8137200.0
2014-03-03,53.71,53.71,9602300.0
2014-03-04,54.28,54.28,6706300.0
2014-03-05,54.38,54.38,5672000.0
2014-03-06,54.83,54.83,9005700.0
2014-03-07,53.53,53.53,7311500.0
2014-03-10,53.88,53.88,5759600.0
2014-03-11,54.02,54.02,11762600.0
2014-03-12,54.5,54.5,5818400.0
2014-03-13,53.57,53.57,7671500.0
2014-03-14,51.92,51.92,9570400.0
2014-03-17,52.05,52.05,6600900.0
2014-03-18,51.13,51.13,12228900.0
2014-03-19,51.24,51.24,7624200.0
2014-03-20,50.12,50.12,10086200.0
2014-03-21,50.92,50.92,11801400.0
2014-03-24,48.77,48.77,12325700.0
2014-03-25,47.88,47.88,8225600.0
2014-03-26,44.43,44.43,16079700.0
2014-03-27,46.32,46.32,15507600.0
2014-03-28,47.3,47.3,9610500.0
2014-03-31,46.67,46.67,5794500.0
2014-04-01,46.98,46.98,6916100.0
2014-04-02,45.73,45.73,7911300.0
2014-04-03,44.05,44.05,11175800.0
2014-04-04,43.14,43.14,13824400.0
2014-04-07,42.45,42.45,12053000.0
2014-04-08,41.78,41.78,14514500.0
2014-04-09,42.49,42.49,14330700.0
2014-04-10,41.34,41.34,10720900.0
2014-04-11,40.05,40.05,9999700.0
2014-04-14,40.87,40.87,10414200.0
2014-04-15,45.52,45.52,24285100.0
2014-04-16,44.42,44.42,13919600.0
2014-04-17,45.01,45.01,12304400.0
2014-04-21,46.13,46.13,6921200.0
2014-04-22,46.02,46.02,6996900.0
2014-04-23,45.95,45.95,7340200.0
2014-04-24,44.82,44.82,11011700.0
2014-04-25,41.61,41.61,13712400.0
2014-04-28,40.73,40.73,14358900.0
2014-04-29,42.62,42.62,28127700.0
2014-04-30,38.97,38.97,38397900.0
2014-05-01,39.09,39.09,15759800.0
2014-05-02,39.02,39.02,12729500.0
2014-05-05,38.75,38.75,10405200.0
2014-05-06,31.85,31.85,134710000.0
2014-05-07,30.66,30.66,68876300.0
2014-05-08,31.96,31.96,51282800.0
2014-05-09,32.05,32.05,31888800.0
2014-05-12,33.94,33.94,34712700.0
2014-05-13,33.39,33.39,24676800.0
2014-05-14,32.85,32.85,20029400.0
2014-05-15,32.77,32.77,22030500.0
2014-05-16,32.26,32.26,21391400.0
2014-05-19,32.07,32.07,15952800.0
2014-05-20,31.77,31.77,16580500.0
2014-05-21,31.75,31.75,15562600.0
2014-05-22,31.52,31.52,35566200.0
2014-05-23,30.5,30.5,27448000.0
2014-05-27,30.51,30.51,25240100.0
2014-05-28,33.77,33.77,60302800.0
2014-05-29,34.0,34.0,54016300.0
2014-05-30,32.44,32.44,40566000.0
2014-06-02,31.75,31.75,31154200.0
2014-06-03,32.58,32.58,19948800.0
2014-06-04,32.9,32.9,24863000.0
2014-06-05,33.89,33.89,40904900.0
2014-06-06,33.33,33.33,23339800.0
2014-06-09,34.47,34.47,23358200.0
2014-06-10,35.37,35.37,36503400.0
2014-06-11,35.54,35.54,29981000.0
2014-06-12,36.79,36.79,58081500.0
2014-06-13,36.9,36.9,29105500.0
2014-06-16,38.02,38.02,29818300.0
2014-06-17,38.02,38.02,30297600.0
2014-06-18,38.74,38.74,23660900.0
